id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
xcpd__4884_c0		C12H22O6S						
xcpd__4886_c0		C14H18N2O5						
xcpd__4889_c0		C16H22O3S						
xcpd__4890_c0		C12H22O8						
xcpd__4893_c0		C16H22O5						
xcpd__4894_c0		C12H27N2O4P						
xcpd__4896_c0		C11H27N4O3P						
xcpd__4897_c0		C11H27N4O3P						
xcpd__4898_c0		C17H26O4						
xcpd__4899_c0		C14H30O4S						
xcpd__4907_c0		C12H9NO8						
xcpd__4908_c0		C13H13NO7						
xcpd__4913_c0		C14H17NO6						
xcpd__4915_c0		C13H17N3O5						
xcpd__4917_c0		C15H21NO5						
xcpd__4927_c0		C11H4O6S2						
xcpd__4932_c0		C13H12O6S						
xcpd__4934_c0		C13H12O8						
xcpd__4935_c0		C12H12N2O7						
xcpd__4939_c0		C14H16O5S						
xcpd__4943_c0		C14H16O7						
xcpd__4944_c0		C11H20O7S						
xcpd__4946_c0		C13H16N2O6						
xcpd__4948_c0		C15H20O4S						
xcpd__4949_c0		C15H21O4P						
xcpd__4953_c0		C15H20O6						
xcpd__4954_c0		C12H24O6S						
xcpd__4955_c0		C14H20N2O5						
xcpd__4957_c0		C16H24O3S						
xcpd__4959_c0		C16H24O5						
xcpd__4964_c0		C17H28O4						
xcpd__4968_c0		C12H11NO6S						
xcpd__4970_c0		C12H11NO8						
xcpd__4974_c0		C12H15N3O6						
xcpd__4987_c0		C12H10O5S2						
xcpd__4988_c0		C12H10O7S						
xcpd__4989_c0		C12H10O9						
xcpd__4990_c0		C20H10OS						
xcpd__4991_c0		C16H10O6						
xcpd__4993_c0		C13H14O6S						
xcpd__4995_c0		C10H18O6S2						
xcpd__4997_c0		C13H14O8						
xcpd__4999_c0		C12H14N2O7						
xcpd__5000_c0		C10H19O8P						
xcpd__5005_c0		C14H18O5S						
xcpd__5008_c0		C8H19N4O6P						
xcpd__5009_c0		C14H18O7						
xcpd__5010_c0		C11H22O7S						
xcpd__5011_c0		C13H18N2O6						
xcpd__5013_c0		C18H18O4						
xcpd__5015_c0		C15H22O4S						
xcpd__5017_c0		C9H23N4O5P						
xcpd__5018_c0		C15H22O6						
xcpd__5019_c0		C12H27O6P						
xcpd__5022_c0		C16H26O3S						
xcpd__5024_c0		C16H26O5						
xcpd__5025_c0		C17H30O4						
xcpd__5029_c0		C13H6N3O4P						
xcpd__5030_c0		C14H10N3O3P						
xcpd__5031_c0		C12H13NO6S						
xcpd__5032_c0		C12H13NO8						
xcpd__5033_c0		C9H17NO8S						
xcpd__5036_c0		C13H17NO7						
xcpd__5038_c0		C14H21NO6						
xcpd__5044_c0		C12H12O7S						
xcpd__5045_c0		C12H12O9						
xcpd__5047_c0		C16H12O6						
xcpd__5049_c0		C13H16O6S						
xcpd__5051_c0		C13H16O8						
xcpd__5053_c0		C12H16N2O7						
xcpd__5054_c0		C17H16O5						
xcpd__5055_c0		C14H20O5S						
xcpd__5057_c0		C14H20O7						
xcpd__5059_c0		C13H20N2O6						
xcpd__5061_c0		C18H20O4						
xcpd__5063_c0		C15H25O4P						
xcpd__5064_c0		C9H25N4O5P						
xcpd__5065_c0		C15H24O6						
xcpd__5066_c0		C16H28O5						
xcpd__5067_c0		C17H32O4						
xcpd__5068_c0		C18H36O3						
xcpd__5069_c0		C11H11NO9						
xcpd__5071_c0		C12H15NO6S						
xcpd__5073_c0		C12H15NO8						
xcpd__5075_c0		C16H15NO5						
xcpd__5077_c0		C13H19NO7						
xcpd__5080_c0		C17H19NO4						
xcpd__5086_c0		C11H11O8P						
xcpd__5088_c0		C11H10O10						
xcpd__5090_c0		C15H10O7						
xcpd__5091_c0		C12H14O7S						
xcpd__5093_c0		C13H11N4O3P						
xcpd__5094_c0		C12H14O9						
xcpd__5097_c0		C16H14O6						
xcpd__5098_c0		C13H18O6S						
xcpd__5099_c0		C15H14N2O5						
