formula,init
C13H10O11,1
C13H14N2O5S2,1
C17H10O8,1
C14H14O8S,1
C14H14O10,1
C13H14N2O9,1
C18H14O7,1
C15H18O7S,1
C14H19N2O4PS,1
C12H22O7S2,1
C19H19O2PS,1
C15H18O9,1
C12H22O9S,1
C14H18N2O8,1
C19H18O6,1
C16H22O6S,1
C16H22O8,1
C13H26O8S,1
C15H22N2O7,1
C13H27O8P,1
C20H22O5,1
C17H26O5S,1
C17H26O7,1
C18H30O4S,1
C18H30O6,1
C19H34O5,1
C20H38O4,1
C13H13NO10,1
C16H14N3O2PS,1
C17H13NO7,1
C14H17NO7S,1
C14H18NO7P,1
C14H17NO9,1
C18H17NO6,1
C18H17NO6,1
C15H21NO8,1
C16H25NO7,1
C13H12O11,1
C17H12O8,1
C14H16O8S,1
C18H17O3PS,1
C8H16N4O9S,1
C14H16O10,1
C11H20O10S,1
C11H20O10S,1
C13H16N2O9,1
C11H21O10P,1
C18H16O7,1
C15H20O7S,1
C15H20O9,1
C12H24O9S,1
C19H20O6,1
C16H24O6S,1
C16H24O8,1
C20H24O5,1
C17H28O5S,1
C17H28O7,1
C18H32O6,1
C19H36O5,1
C16H11NO8,1
C13H15NO8S,1
C13H16NO8P,1
C13H15NO10,1
C17H15NO7,1
C14H19NO9,1
C18H19NO6,1
C15H24NO6P,1
C15H23NO8,1
C16H27NO7,1
C19H40NO2P,1
C16H10O9,1
C13H14O9S,1
C17H15O4PS,1
C13H15O9P,1
C13H14O11,1
C10H19O11P,1
C17H14O8,1
C14H18O8S,1
C14H18O10,1
C11H22O10S,1
C18H18O7,1
C15H22O7S,1
C15H22O9,1
C12H26O9S,1
C19H22O6,1
C16H26O6S,1
C16H26O8,1
C20H26O5,1
C16H13NO8,1
C13H17NO8S,1
C13H17NO10,1
C17H17NO7,1
C14H22NO7P,1
C14H21NO9,1
C18H21NO6,1
C15H25NO8,1
C17H34NO4P,1
C9H16O10S2,1
C16H12O9,1
C13H16O9S,1
C13H16O9S,1
C16H17N2OPS2,1
C13H16O11,1
C17H16O8,1
C14H20O8S,1
C14H20O8S,1
C14H21O8P,1
C14H20O10,1
C11H24O10S,1
C18H20O7,1
C15H24O7S,1
C15H24O9,1
C19H24O6,1
C16H28O6S,1
C20H28O5,1
C19H41O3P,1
C15H11NO9,1
C12H15NO11,1
C16H15NO8,1
C13H19NO8S,1
C13H20NO8P,1
C17H19NO7,1
C16H19N3O6,1
C14H24NO7P,1
C14H23NO9,1
C18H23NO6,1
C15H27NO8,1
C16H31NO7,1
C17H36NO4P,1
C15H10O10,1
C12H15O10P,1
C8H18N2O9S2,1
C16H14O7S,1
C10H23O7PS2,1
C15H15N2O6P,1
C13H18O9S,1
C19H15N2O3P,1
C17H18O6S,1
C13H18O11,1
C13H18O11,1
C10H22O11S,1
C17H18O8,1
